Index,H_infty_20 Eigenvalues,Im(ζ(s)) Zeta Zeros
1,-4.274565380194847,14.134725
2,-3.2094380437186243,21.02204
3,-2.9001455254086275,25.010857
4,-2.234540060335341,30.424876
5,-2.12771160135176,32.935061
6,-1.2669336429132734,37.586178
7,-0.8234822910264563,40.918719
8,-0.6016202399681332,43.327073
9,-0.2540346298891904,48.00515
10,0.2692545254875645,49.773832
11,0.9340104273164973,52.970321
12,1.1335314132132588,56.446248
13,1.2445444433166057,59.347044
14,2.104264785500949,60.83178
15,2.5187172706925196,65.112544
